Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
COMMONAREA_MEDI,2,"[0.01, 0.03)",20627,0.084,19207,1420,0.069,0.173,0.002,0.0,-0.53,1.621
COMMONAREA_MEDI,3,"[0.03, 0.07)",14245,0.058,13294,951,0.067,0.206,0.002,0.0,-0.53,0.839
COMMONAREA_MEDI,4,"[0.07, inf)",12386,0.05,11664,722,0.058,0.351,0.005,0.001,-0.53,-2.594
COMMONAREA_MEDI,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.53,5.726
COMMONAREA_MEDI,6,Missing,171929,0.699,157150,14779,0.086,-0.068,0.003,0.0,-0.53,7.33
ELEVATORS_MEDI,0,"[-inf, 0.01)",69494,0.282,64165,5329,0.077,0.057,0.001,0.0,-0.24,5.117
ELEVATORS_MEDI,1,"[0.01, 0.09)",13177,0.054,12346,831,0.063,0.267,0.003,0.0,-0.24,2.857
ELEVATORS_MEDI,2,"[0.09, 0.21)",16498,0.067,15547,951,0.058,0.363,0.008,0.001,-0.24,1.829
ELEVATORS_MEDI,3,"[0.21, inf)",15631,0.064,14806,825,0.053,0.456,0.011,0.001,-0.24,0.826
ELEVATORS_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.24,5.726
ELEVATORS_MEDI,5,Missing,131208,0.533,119268,11940,0.091,-0.13,0.01,0.001,-0.24,7.125
ENTRANCES_MEDI,0,"[-inf, 0.08)",32984,0.134,30352,2632,0.08,0.014,0.0,0.0,-0.897,5.184
ENTRANCES_MEDI,1,"[0.08, 0.13)",18494,0.075,17179,1315,0.071,0.138,0.001,0.0,-0.897,0.176
ENTRANCES_MEDI,2,"[0.13, 0.16)",29050,0.118,27094,1956,0.067,0.197,0.004,0.001,-0.897,-2.175
ENTRANCES_MEDI,3,"[0.16, 0.23)",24112,0.098,22585,1527,0.063,0.262,0.006,0.001,-0.897,-4.808
ENTRANCES_MEDI,4,"[0.23, inf)",17420,0.071,16342,1078,0.062,0.287,0.005,0.001,-0.897,-5.797
ENTRANCES_MEDI,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.897,5.726
ENTRANCES_MEDI,6,Missing,123948,0.504,112580,11368,0.092,-0.139,0.01,0.001,-0.897,11.296
FLOORSMAX_MEDI,0,"[-inf, 0.16)",25966,0.106,23658,2308,0.089,-0.104,0.001,0.0,0.112,5.205
FLOORSMAX_MEDI,1,"[0.16, 0.22)",52283,0.213,48562,3721,0.071,0.137,0.004,0.0,0.112,6.412
FLOORSMAX_MEDI,2,"[0.22, 0.36)",29264,0.119,27484,1780,0.061,0.305,0.01,0.001,0.112,7.253
FLOORSMAX_MEDI,3,"[0.36, inf)",15963,0.065,15148,815,0.051,0.491,0.013,0.002,0.112,8.18
FLOORSMAX_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.112,5.726
FLOORSMAX_MEDI,5,Missing,122532,0.498,111280,11252,0.092,-0.14,0.01,0.001,0.112,5.026
FLOORSMIN_MEDI,0,"[-inf, 0.20)",26401,0.107,24340,2061,0.078,0.037,0.0,0.0,-0.175,5.433
FLOORSMIN_MEDI,1,"[0.20, 0.22)",26966,0.11,25055,1911,0.071,0.142,0.002,0.0,-0.175,4.613
FLOORSMIN_MEDI,2,"[0.22, inf)",25687,0.104,24234,1453,0.057,0.383,0.013,0.002,-0.175,2.725
FLOORSMIN_MEDI,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.175,5.726
FLOORSMIN_MEDI,4,Missing,166954,0.679,152503,14451,0.087,-0.075,0.004,0.0,-0.175,6.316
LANDAREA_MEDI,0,"[-inf, 0.00)",13267,0.054,12403,864,0.065,0.233,0.003,0.0,-0.577,-0.275
LANDAREA_MEDI,1,"[0.00, 0.02)",17216,0.07,15819,1397,0.081,-0.005,0.0,0.0,-0.577,5.848
LANDAREA_MEDI,2,"[0.02, 0.06)",25419,0.103,23552,1867,0.073,0.103,0.001,0.0,-0.577,3.061
LANDAREA_MEDI,3,"[0.06, 0.08)",15246,0.062,14210,1036,0.068,0.187,0.002,0.0,-0.577,0.9
LANDAREA_MEDI,4,"[0.08, 0.12)",15146,0.062,14154,992,0.065,0.226,0.003,0.0,-0.577,-0.118
LANDAREA_MEDI,5,"[0.12, inf)",13585,0.055,12741,844,0.062,0.283,0.004,0.0,-0.577,-1.574
LANDAREA_MEDI,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.577,5.726
LANDAREA_MEDI,7,Missing,146129,0.594,133253,12876,0.088,-0.095,0.006,0.001,-0.577,8.171
LIVINGAPARTMENTS_MEDI,0,"[-inf, 0.04)",15308,0.062,14015,1293,0.084,-0.048,0.0,0.0,-0.44,6.68
LIVINGAPARTMENTS_MEDI,1,"[0.04, 0.09)",30392,0.124,28307,2085,0.069,0.177,0.004,0.0,-0.44,2.246
LIVINGAPARTMENTS_MEDI,2,"[0.09, 0.16)",18867,0.077,17677,1190,0.063,0.267,0.005,0.001,-0.44,0.475
